Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-16,Best Picture,,https://boxd.it/RM12m,

Position,Name,Year,URL,Description
1,Anora,2024,https://boxd.it/Egcw,
2,Oppenheimer,2023,https://boxd.it/wUow,
3,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
4,CODA,2021,https://boxd.it/tbf4,
5,Nomadland,2020,https://boxd.it/lnRy,
6,Parasite,2019,https://boxd.it/hTha,
7,Green Book,2018,https://boxd.it/hErk,
8,The Shape of Water,2017,https://boxd.it/dZ5m,
9,Moonlight,2016,https://boxd.it/d6bE,
10,Spotlight,2015,https://boxd.it/a84k,
11,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
12,12 Years a Slave,2013,https://boxd.it/2D2e,
13,Argo,2012,https://boxd.it/2czU,
14,The Artist,2011,https://boxd.it/2AwK,
15,The King's Speech,2010,https://boxd.it/dX0,
16,The Hurt Locker,2008,https://boxd.it/1Soi,
17,Slumdog Millionaire,2008,https://boxd.it/1S3E,
18,No Country for Old Men,2007,https://boxd.it/21ew,
19,The Departed,2006,https://boxd.it/28MA,
20,Crash,2004,https://boxd.it/28q0,
21,Million Dollar Baby,2004,https://boxd.it/2bdI,
22,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
23,Chicago,2002,https://boxd.it/28zm,
24,A Beautiful Mind,2001,https://boxd.it/2amk,
25,Gladiator,2000,https://boxd.it/2b9m,
26,American Beauty,1999,https://boxd.it/71Y,
27,Shakespeare in Love,1998,https://boxd.it/27Pe,
28,Titanic,1997,https://boxd.it/2a2k,
29,The English Patient,1996,https://boxd.it/2arE,
30,Braveheart,1995,https://boxd.it/2aTI,
31,Forrest Gump,1994,https://boxd.it/728,
32,Schindler's List,1993,https://boxd.it/2aq2,
33,Unforgiven,1992,https://boxd.it/6Z4,
34,The Silence of the Lambs,1991,https://boxd.it/2aHW,
35,Dances with Wolves,1990,https://boxd.it/2a4K,
36,Driving Miss Daisy,1989,https://boxd.it/2asC,
37,Rain Man,1988,https://boxd.it/2avw,
38,The Last Emperor,1987,https://boxd.it/29Ji,
39,Platoon,1986,https://boxd.it/29BS,
40,Out of Africa,1985,https://boxd.it/2a0S,
41,Amadeus,1984,https://boxd.it/2aH8,
42,Terms of Endearment,1983,https://boxd.it/1ULo,
43,Gandhi,1982,https://boxd.it/29Dk,
44,Chariots of Fire,1981,https://boxd.it/1YFu,
45,Ordinary People,1980,https://boxd.it/1JTm,
46,Kramer vs. Kramer,1979,https://boxd.it/h0w,
47,The Deer Hunter,1978,https://boxd.it/1T6O,
48,Annie Hall,1977,https://boxd.it/29M2,
49,Rocky,1976,https://boxd.it/28Uk,
50,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
51,The Godfather Part II,1974,https://boxd.it/2aNq,
52,The Sting,1973,https://boxd.it/1Z5s,
53,The Godfather,1972,https://boxd.it/2aNK,
54,The French Connection,1971,https://boxd.it/296g,
55,Patton,1970,https://boxd.it/1UnQ,
56,Midnight Cowboy,1969,https://boxd.it/25Hi,
57,Oliver!,1968,https://boxd.it/1HQU,
58,In the Heat of the Night,1967,https://boxd.it/1VLY,
59,A Man for All Seasons,1966,https://boxd.it/29oE,
60,The Sound of Music,1965,https://boxd.it/1MLK,
61,My Fair Lady,1964,https://boxd.it/1UBI,
62,Tom Jones,1963,https://boxd.it/22Ao,
63,Lawrence of Arabia,1962,https://boxd.it/2wRE,
64,West Side Story,1961,https://boxd.it/28dK,
65,The Apartment,1960,https://boxd.it/2aGE,
66,Ben-Hur,1959,https://boxd.it/29RQ,
67,Gigi,1958,https://boxd.it/1IT6,
68,The Bridge on the River Kwai,1957,https://boxd.it/29wo,
69,Around the World in 80 Days,1956,https://boxd.it/268I,
70,Marty,1955,https://boxd.it/1Leg,
71,On the Waterfront,1954,https://boxd.it/29TC,
72,From Here to Eternity,1953,https://boxd.it/1TRU,
73,The Greatest Show on Earth,1952,https://boxd.it/1smA,
74,An American in Paris,1951,https://boxd.it/26kY,
75,All About Eve,1950,https://boxd.it/29LI,
76,All the King's Men,1949,https://boxd.it/1vQI,
77,Hamlet,1948,https://boxd.it/1ziq,
78,Gentleman's Agreement,1947,https://boxd.it/1f3U,
79,The Best Years of Our Lives,1946,https://boxd.it/29my,
80,The Lost Weekend,1945,https://boxd.it/1pgE,
81,Going My Way,1944,https://boxd.it/1Ihw,
82,Casablanca,1942,https://boxd.it/2aG0,
83,Mrs. Miniver,1942,https://boxd.it/1rXA,
84,How Green Was My Valley,1941,https://boxd.it/UV2,
85,Rebecca,1940,https://boxd.it/2aQa,
86,Gone with the Wind,1939,https://boxd.it/29Fq,
87,You Can't Take It with You,1938,https://boxd.it/1ejM,
88,The Life of Emile Zola,1937,https://boxd.it/UT6,
89,The Great Ziegfeld,1936,https://boxd.it/UTg,
90,Mutiny on the Bounty,1935,https://boxd.it/1S5K,
91,It Happened One Night,1934,https://boxd.it/25Ng,
92,Cavalcade,1933,https://boxd.it/pMI,
93,Grand Hotel,1932,https://boxd.it/1f2C,
94,Cimarron,1931,https://boxd.it/VQC,
95,All Quiet on the Western Front,1930,https://boxd.it/2b2g,
96,The Broadway Melody,1929,https://boxd.it/4dW,
97,Wings,1927,https://boxd.it/1osO,
