Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-05-17,Letterboxd Top 500,,https://boxd.it/8HjM,

Position,Name,Year,URL,Description
1,Harakiri,1962,https://letterboxd.com/film/harakiri/,
2,The Human Condition III: A Soldier's Prayer,1961,https://letterboxd.com/film/the-human-condition-iii-a-soldiers-prayer/,
3,12 Angry Men,1957,https://letterboxd.com/film/12-angry-men/,
4,Come and See,1985,https://letterboxd.com/film/come-and-see/,
5,Seven Samurai,1954,https://letterboxd.com/film/seven-samurai/,
6,High and Low,1963,https://letterboxd.com/film/high-and-low/,
7,The Shawshank Redemption,1994,https://letterboxd.com/film/the-shawshank-redemption/,
8,The Godfather Part II,1974,https://letterboxd.com/film/the-godfather-part-ii/,
9,The Human Condition I: No Greater Love,1959,https://letterboxd.com/film/the-human-condition-i-no-greater-love/,
10,City of God,2002,https://letterboxd.com/film/city-of-god/,
11,The Lord of the Rings: The Return of the King,2003,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/,
12,Schindler's List,1993,https://letterboxd.com/film/schindlers-list/,
13,Yi Yi,2000,https://letterboxd.com/film/yi-yi/,
14,Parasite,2019,https://letterboxd.com/film/parasite-2019/,
15,The Godfather,1972,https://letterboxd.com/film/the-godfather/,
16,Ikiru,1952,https://letterboxd.com/film/ikiru/,
17,Cinema Paradiso,1988,https://letterboxd.com/film/cinema-paradiso/,
18,Ran,1985,https://letterboxd.com/film/ran/,
19,Le Trou,1960,https://letterboxd.com/film/le-trou/,
20,"The Good, the Bad and the Ugly",1966,https://letterboxd.com/film/the-good-the-bad-and-the-ugly/,
21,La Haine,1995,https://letterboxd.com/film/la-haine/,
22,A Brighter Summer Day,1991,https://letterboxd.com/film/a-brighter-summer-day/,
23,Autumn Sonata,1978,https://letterboxd.com/film/autumn-sonata/,
24,The Human Condition II: Road to Eternity,1959,https://letterboxd.com/film/the-human-condition-ii-road-to-eternity/,
25,The Dark Knight,2008,https://letterboxd.com/film/the-dark-knight/,
26,Grave of the Fireflies,1988,https://letterboxd.com/film/grave-of-the-fireflies/,
27,Neon Genesis Evangelion: The End of Evangelion,1997,https://letterboxd.com/film/neon-genesis-evangelion-the-end-of-evangelion/,
28,Woman in the Dunes,1964,https://letterboxd.com/film/woman-in-the-dunes/,
29,The Battle of Algiers,1966,https://letterboxd.com/film/the-battle-of-algiers/,
30,There Will Be Blood,2007,https://letterboxd.com/film/there-will-be-blood/,
31,GoodFellas,1990,https://letterboxd.com/film/goodfellas/,
32,The Cranes Are Flying,1957,https://letterboxd.com/film/the-cranes-are-flying/,
33,I Am Cuba,1964,https://letterboxd.com/film/i-am-cuba/,
34,Paths of Glory,1957,https://letterboxd.com/film/paths-of-glory/,
35,Interstellar,2014,https://letterboxd.com/film/interstellar/,
36,Incendies,2010,https://letterboxd.com/film/incendies/,
37,Spirited Away,2001,https://letterboxd.com/film/spirited-away/,
38,Andrei Rublev,1966,https://letterboxd.com/film/andrei-rublev/,
39,It's a Wonderful Life,1946,https://letterboxd.com/film/its-a-wonderful-life/,
40,The Ascent,1977,https://letterboxd.com/film/the-ascent/,
41,Apocalypse Now,1979,https://letterboxd.com/film/apocalypse-now/,
42,The Apartment,1960,https://letterboxd.com/film/the-apartment/,
43,Sunset Boulevard,1950,https://letterboxd.com/film/sunset-boulevard/,
44,Tokyo Story,1953,https://letterboxd.com/film/tokyo-story/,
45,The Lord of the Rings: The Two Towers,2002,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/,
46,Sansho the Bailiff,1954,https://letterboxd.com/film/sansho-the-bailiff/,
47,The Passion of Joan of Arc,1928,https://letterboxd.com/film/the-passion-of-joan-of-arc/,
48,Whiplash,2014,https://letterboxd.com/film/whiplash-2014/,
49,Fanny and Alexander,1982,https://letterboxd.com/film/fanny-and-alexander/,
50,Portrait of a Lady on Fire,2019,https://letterboxd.com/film/portrait-of-a-lady-on-fire/,
51,Mishima: A Life in Four Chapters,1985,https://letterboxd.com/film/mishima-a-life-in-four-chapters/,
52,Memories of Murder,2003,https://letterboxd.com/film/memories-of-murder/,
53,Close-Up,1990,https://letterboxd.com/film/close-up/,
54,Red Beard,1965,https://letterboxd.com/film/red-beard/,
55,Life Is Beautiful,1997,https://letterboxd.com/film/life-is-beautiful/,
56,The Red Shoes,1948,https://letterboxd.com/film/the-red-shoes/,
57,Nobody Knows,2004,https://letterboxd.com/film/nobody-knows/,
58,Witness for the Prosecution,1957,https://letterboxd.com/film/witness-for-the-prosecution-1957/,
59,Nights of Cabiria,1957,https://letterboxd.com/film/nights-of-cabiria/,
60,Barry Lyndon,1975,https://letterboxd.com/film/barry-lyndon/,
61,The Pianist,2002,https://letterboxd.com/film/the-pianist/,
62,Lawrence of Arabia,1962,https://letterboxd.com/film/lawrence-of-arabia/,
63,Spider-Man: Across the Spider-Verse,2023,https://letterboxd.com/film/spider-man-across-the-spider-verse/,
64,Farewell My Concubine,1993,https://letterboxd.com/film/farewell-my-concubine/,
65,The Empire Strikes Back,1980,https://letterboxd.com/film/the-empire-strikes-back/,
66,Eternity and a Day,1998,https://letterboxd.com/film/eternity-and-a-day/,
67,A Woman Under the Influence,1974,https://letterboxd.com/film/a-woman-under-the-influence/,
68,Stalker,1979,https://letterboxd.com/film/stalker/,
69,Do the Right Thing,1989,https://letterboxd.com/film/do-the-right-thing/,
70,Spider-Man: Into the Spider-Verse,2018,https://letterboxd.com/film/spider-man-into-the-spider-verse/,
71,Satantango,1994,https://letterboxd.com/film/satantango/,
72,Princess Mononoke,1997,https://letterboxd.com/film/princess-mononoke/,
73,The Handmaiden,2016,https://letterboxd.com/film/the-handmaiden/,
74,The Voice of Hind Rajab,2025,https://letterboxd.com/film/the-voice-of-hind-rajab/,
75,Love Exposure,2008,https://letterboxd.com/film/love-exposure/,
